App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,category_key,rating_num,reviews_num,installs_num,size_mb,subjectivity_num
Rainbow Camera,BEAUTY,3.7,3871,23M,"1,000,000+",Free,0,Everyone,Beauty,"July 30, 2018",2.2.0,4.0 and up,BEAUTY,3.7,3871.0,1000000.0,23.0,
Google Primer,BUSINESS,4.4,62272,18M,"10,000,000+",Free,0,Everyone,Business,"June 26, 2018",3.550.2,4.1 and up,BUSINESS,4.4,62272.0,10000000.0,18.0,
Kariyer.net,BUSINESS,3.9,45964,16M,"1,000,000+",Free,0,Everyone,Business,"July 18, 2018",5.1.5,4.1 and up,BUSINESS,3.9,45964.0,1000000.0,16.0,
"MailChimp - Email, Marketing Automation",BUSINESS,4.1,5448,12M,"500,000+",Free,0,Everyone,Business,"July 25, 2018",4.9.1,5.0 and up,BUSINESS,4.1,5448.0,500000.0,12.0,
Marvel Unlimited,COMICS,3.7,22551,11M,"1,000,000+",Free,0,Teen,Comics,"July 24, 2018",3.16.0,4.4 and up,COMICS,3.7,22551.0,1000000.0,11.0,
Call Free – Free Call,COMMUNICATION,4.3,30209,15M,"5,000,000+",Free,0,Everyone,Communication,"July 28, 2018",1.3.4,4.1 and up,COMMUNICATION,4.3,30209.0,5000000.0,15.0,
TracFone My Account,COMMUNICATION,3.6,20769,18M,"1,000,000+",Free,0,Everyone,Communication,"July 11, 2018",R6.0.3,4.1 and up,COMMUNICATION,3.6,20769.0,1000000.0,18.0,
TouchPal Keyboard - Fun Emoji & Android Keyboard,COMMUNICATION,4.4,615381,37M,"10,000,000+",Free,0,Mature 17+,Communication,"August 2, 2018",6.7.9.1,4.0.3 and up,COMMUNICATION,4.4,615381.0,10000000.0,37.0,
My magenta,COMMUNICATION,3.9,42370,37M,"1,000,000+",Free,0,Everyone,Communication,"June 25, 2018",7.5.1,5.0 and up,COMMUNICATION,3.9,42370.0,1000000.0,37.0,
Omlet Chat,COMMUNICATION,3.9,40751,35M,"10,000,000+",Free,0,Teen,Communication,"November 4, 2016",2.2.7600,4.0.3 and up,COMMUNICATION,3.9,40751.0,10000000.0,35.0,
PHONE for Google Voice & GTalk,COMMUNICATION,4.3,72065,13M,"1,000,000+",Free,0,Everyone,Communication,"April 18, 2018",3.0.7,4.0 and up,COMMUNICATION,4.3,72065.0,1000000.0,13.0,
Hiya - Caller ID & Block,COMMUNICATION,4.4,177703,13M,"10,000,000+",Free,0,Mature 17+,Communication,"July 25, 2018",8.1.2-6310,5.0 and up,COMMUNICATION,4.4,177703.0,10000000.0,13.0,
Call Blocker,COMMUNICATION,4.1,17529,10M,"1,000,000+",Free,0,Everyone,Communication,"July 26, 2018",5.86,4.0.3 and up,COMMUNICATION,4.1,17529.0,1000000.0,10.0,
"CallApp: Caller ID, Blocker & Phone Call Recorder",COMMUNICATION,4.4,483565,20M,"10,000,000+",Free,0,Everyone,Communication,"July 29, 2018",1.286,4.1 and up,COMMUNICATION,4.4,483565.0,10000000.0,20.0,
Call Control - Call Blocker,COMMUNICATION,4.4,93825,11M,"5,000,000+",Free,0,Everyone,Communication,"July 5, 2018",2.17.3,4.1 and up,COMMUNICATION,4.4,93825.0,5000000.0,11.0,
